Angulacion
punto 1 -> perpendicular 
110
	[-123.688931321779, 248.5373130715211, 855.6519440295881]
	[-123.0448137354265, 248.4210053145567, 854.5879106604443]
	[-123.5694849290072, 248.5122567980304, 854.7786392612335]
	[-124.196457218729, 248.4580395561665, 856.6692847556679]
	[-122.5465594948251, 248.6090079173078, 855.0976643049925]
	[-122.9779625268772, 248.6483114005236, 856.9020978392172]
	[-121.9823325078096, 248.7915102442041, 855.6395530899974]
	[-122.6357107040002, 248.6318842958315, 855.1139136542222]
	[-122.4350168300953, 248.6429806948648, 854.257903945159]
	[-122.6387397215213, 248.6784019023395, 855.2582272307219]
	[-122.4327563480598, 248.6618911349998, 854.8870631419763]
	[-121.8869550621564, 248.7284612599553, 854.3936647415027]
	[-122.7931806774371, 248.6178801271589, 855.1815317355481]
	[-122.9393575015102, 248.6468522390128, 855.988037712257]
	[-123.0262397369982, 248.5983622221203, 856.1492112572622]
	[-122.9720149135671, 248.6036484170347, 856.0569110339933]
	[-122.5259276588866, 248.6113656037382, 854.2071743533149]
	[-122.6969261944633, 248.6103522093282, 854.7845271559503]
	[-122.0437592921357, 248.6887538926952, 854.1271198938718]
	[-122.7952701934862, 248.6262107617789, 855.6884261386139]
	[-122.3957143920622, 248.6407894663332, 854.3339067136983]
	[-121.5602676357333, 248.7889997824095, 854.2608975418376]
	[-122.9896642125963, 248.5428991239931, 854.8942187053311]
	[-122.5640705457742, 248.5432902843492, 853.9590884750259]
	[-121.823219389433, 248.6801110786816, 853.5662466713599]
	[-122.7691747094601, 248.5633197435821, 854.7297805510394]
	[-122.356736372116, 248.68888326967, 855.5082641464491]
	[-122.3800956737423, 248.7426055566494, 856.3405644730024]
	[-122.9099982306708, 248.5489184860644, 854.6585210001717]
	[-122.1236237170289, 248.7509470875895, 855.1895207466251]
	[-123.148494045876, 248.4636260720787, 854.5149505296853]
	[-121.963419713526, 248.7118960976158, 854.2006100249291]
	[-121.0733828547362, 248.3308489148549, 849.8969257844011]
	[-122.3411450146837, 248.4217751760877, 852.469468386897]
	[-122.7419488554391, 248.5329063128413, 853.9804542771896]
	[-122.6624565986089, 248.519872866444, 853.9956632721157]
	[-123.2612590392479, 248.3149550141424, 854.1492701981338]
	[-122.7560460649176, 248.2423042722244, 852.126655470283]
	[-123.1412451526705, 248.2635570709469, 853.2516743692931]
	[-122.4187347364263, 248.5508505806322, 853.4766262104029]
	[-123.6622855136407, 248.3093515147084, 855.8686482694841]
	[-122.3480539264815, 248.6262109869431, 854.4023197092214]
	[-122.4214695850861, 248.5608311990046, 853.9550649218614]
	[-123.8501577371971, 248.1522470926431, 854.590765413919]
	[-123.6155202905384, 248.3106896212202, 855.6034277840968]
	[-123.0910360168131, 248.5658815415956, 856.465196703036]
	[-123.393076859561, 248.3545067946951, 854.9784237331066]
	[-123.5844679129653, 248.3482536431162, 856.0944129473673]
	[-123.7600241523056, 248.310058118176, 856.0412258507106]
	[-123.2496366059624, 248.3457779804777, 854.2544343544489]
	[-122.4872729281465, 248.4102107055079, 852.2491677239243]
	[-122.6056841788209, 248.5909622815271, 854.9919378300402]
	[-122.9606557173861, 248.5523958960767, 855.6281036494295]
	[-122.8158030453247, 248.5711592154852, 855.4245715134554]
	[-122.4412213420448, 248.5878929864629, 854.0911132160245]
	[-123.1053451032264, 248.4705808232239, 855.3702422330081]
	[-123.1123023219828, 248.3766748860258, 854.3049271259551]
	[-123.2421016783397, 248.3743766875687, 854.4517109555578]
	[-122.3352608556827, 248.6883545164364, 855.2355594734501]
	[-122.3896871714454, 248.5588096463364, 853.8799908588671]
	[-122.7359023301124, 248.4519103090763, 853.5950534302831]
	[-122.8705727898554, 248.5144842178834, 855.0832299307355]
	[-122.6631402662054, 248.5211789126838, 854.7353462699213]
	[-123.1050774435281, 248.5147072679688, 856.0056479757552]
	[-122.2252161534898, 248.6105463889595, 853.264274236491]
	[-123.1005697945805, 248.3187318900184, 853.5756181086058]
100
	[-123.2261434769514, 248.4765615749803, 855.762749998466]
	[-122.4252870332881, 248.6745253382669, 854.9287397380735]
	[-122.80897519683, 248.5925770648126, 855.3557756172218]
	[-122.8607912173772, 248.4258961116897, 854.0374211070455]
	[-123.3071565318842, 248.259136967049, 853.812172737333]
	[-123.0407238422925, 248.333437973205, 853.5518735081453]
	[-122.3182955760883, 248.5874786095952, 853.487428176078]
	[-123.1095278593969, 248.411270623753, 854.7914373713705]
