5
	-226,925978632976, 251,8975626661863, 907,4200786302697
	-227,8370400919122, 252,0324048119734, 909,1260027312478
	-226,3735502357988, 252,0683578101824, 909,3217632299969
17
	-225,4746926584669, 251,6430348480314, 906,4320075196802
	-70,2713771578814, 247,338191635868, 956,8905667279563
	-70,75768560733223, 247,5124309757611, 957,6811226157254
	-71,30501754696631, 247,9511907367362, 959,5711847769679
	-70,30290743407625, 247,2310158814186, 956,35364721005
	-70,6929314969114, 247,650954719247, 957,7356059056948
	-69,56973315319033, 246,827056872735, 954,4232909227743
	-72,24362587461046, 248,2810052381513, 961,0139450018214
	-70,3822416982227, 247,1877247937408, 956,0468480662254
	-72,34310881271064, 248,205641654989, 960,5958122968241
	-70,12713467964596, 247,4581832259399, 957,4150333184538
	-72,09633243292438, 248,1568606824913, 960,3656055481226
	-70,3775383492216, 247,536840760117, 957,6908572948929
	-71,26235990974203, 247,9121795365029, 959,3579531146803
	-70,20086120316061, 247,5821132340157, 957,9241846504442
	-71,81186547332038, 248,117849473613, 960,3231073517743
	-72,09714909246787, 248,275502401647, 961,2163174029498
	-70,26623512265253, 247,3922446522796, 956,930761838064
	-71,88389135248505, 248,1428775464392, 960,3010233095388
	-70,11360371868423, 247,2958845869577, 956,4200140245493
	-70,42202590024331, 247,4281036087973, 957,2214440848329
	-70,66957556189791, 247,4765992476131, 957,4635001583808
	-71,1755915494152, 247,6775839695575, 958,3874734064677
	-70,35377714031523, 247,4900439889845, 957,5418035813723
	-71,34665017083114, 247,9367567324417, 959,4772087528582
	-70,98420738857472, 247,8094655310078, 958,9009125828721
	-70,52329194178849, 247,3545427851672, 957,0117153944116
	-71,13422611866285, 247,8517827838014, 959,1696523570441
	-70,88999604668547, 248,0664290972359, 960,2864562675828
	-70,70787199204835, 247,5120835947438, 957,0606191596576
18
	-238,9331044897909, 252,4401630463321, 912,7455792427614
	-238,9669348297214, 252,6167304940786, 914,3575205746586
	-239,0409152260785, 252,6387079824856, 914,4353144714383
	-238,5083843197015, 252,6466031230842, 913,3079212094885
	-238,3772759658926, 252,6596481222291, 913,2062045778928
	-239,6728602054909, 252,5125573836166, 914,5380314052885
	-239,5954177291481, 252,5538551704768, 915,2163808410473
	-239,8552292842868, 252,5419469214503, 916,0188150752255
	-238,5660740625901, 252,6451192760664, 914,1542273911936
	-238,7949257974107, 252,6286409644208, 914,5398260325419
	-239,8514387597733, 252,5344083122883, 916,7156939354329
	-239,3894157981355, 252,5955061194342, 915,2990329846642
	-239,4755873467918, 252,6210413230174, 916,4031275950075
	-239,8264164194163, 252,5320396009666, 915,221067227921
	-239,1912274149187, 252,6150420632821, 916,4768618418937
	-239,5110998663419, 252,5957589204782, 916,6466466895131
	-239,4001898398492, 252,5239441210413, 913,8038130747292
	-239,3815909818401, 252,6075184363993, 916,143509260601
	-239,0454001955097, 252,6265033916995, 915,3296397058725
	-239,8257742179611, 252,4964999674296, 914,260913479183
	-240,2775463600245, 252,4962156750213, 916,7919969335968
	-239,8093033991226, 252,5250568289587, 914,8262833709545
	-240,3801150408838, 252,4714327498529, 916,0510199801801
	-239,5071315283657, 252,5501669714718, 914,3384988081236
	-239,7188555124659, 252,52606684207, 915,5381110337165
	-239,2311194501108, 252,5761737613515, 914,9851448476221
	-239,516863367664, 252,5207309169856, 914,0758255676012
	-240,0794946989162, 252,4880509545547, 915,6273351838105
	-239,3235682533242, 252,5636107573484, 914,647610876864
	-238,7408469594749, 252,5486437377831, 912,1035370002119
	-238,4745762322146, 252,6090229256234, 912,422530893249
	-238,5593616717449, 252,6458806138679, 914,8066426161064
	-238,982228121533, 252,5905865972418, 913,096490967902
	-238,6254851619709, 252,5579649491941, 912,1905138725031
	-239,4300793980425, 252,5416455993451, 913,1718102783641
	-239,9109235443757, 252,4848913484924, 914,8508694177748
	-239,3901996332075, 252,5390824939597, 914,2438834248312
	-239,7819106336481, 252,5192573286645, 915,2674477092382
	-239,6437461990847, 252,5731373422941, 915,6768156834022
	-239,6170329018537, 252,510145644119, 914,4751078596704
	-239,5439663433665, 252,4822285006285, 914,6413189136347
19
	-238,7736052571038, 252,192567654113, 911,9697005604477
	-64,81649003610667, 247,6283334295665, 970,2187228752697
	-64,09180192365136, 247,5945650354998, 969,7397067975255
	-63,70034290414969, 247,7295245154751, 970,8007776545562
	-63,8386831524269, 247,6187853816955, 969,9882724181975
	-64,05375644091488, 247,4778135459002, 969,0195386784237
	-64,72570816991472, 247,8406992847545, 971,2674968403442
	-64,67557145831461, 247,8592791573686, 971,3897357927563
	-64,67084151246731, 247,7133914004538, 970,6280391734026
	-64,36905808004178, 247,6534712060785, 970,1616318389516
	-63,87202266360584, 247,5088983442399, 969,5474217517926
	-63,64617988414588, 247,4615594018805, 969,0821007371578
	-64,7216425906887, 248,0123490014584, 972,0307467416511
	-64,1075856309305, 247,8445706641627, 971,2788444662774
	-63,35563281304071, 247,5221861238281, 969,5140394151916
	-64,9751931273574, 248,1338675492931, 972,5444382950852
	-63,84344354875862, 247,5277037101212, 969,759389529009
	-64,03165724300348, 247,6316409657503, 970,0751270493305
	-63,6426782754429, 247,5383696694915, 969,6143588824715
	-64,52965729206338, 247,9839279356588, 971,9803784760338
	-64,52635592983316, 247,7209477956341, 970,4706011249829
	-63,64320546747328, 247,7324968533223, 970,8008208947463
	-64,14426836495234, 247,9419227725513, 971,9133054473639
	-63,37390676141836, 247,3206091414622, 968,511202543018
	-64,33871915581513, 247,9779883616997, 971,754666558375
	-64,42078863366599, 247,8760737022435, 971,3276926814375
	-64,67971932580195, 247,929097072497, 971,6127199208656
